,ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
1021,256,active,plausible,The watchman sighted the intruder.,The intruder sighted the watchman.,AAR
1022,256,passive,plausible,The watchman was sighted by the intruder.,The intruder sighted the watchman.,AAR
1023,256,passive,plausible,The intruder was sighted by the watchman.,The intruder sighted the watchman.,AAR
1024,257,active,plausible,The supplier reimbursed the merchant.,The supplier reimbursed the merchant.,AAR
1025,257,active,plausible,The merchant reimbursed the supplier.,The supplier reimbursed the merchant.,AAR
1026,257,passive,plausible,The merchant was reimbursed by the supplier.,The supplier reimbursed the merchant.,AAR
1027,257,passive,plausible,The supplier was reimbursed by the merchant.,The supplier reimbursed the merchant.,AAR
1028,258,active,plausible,The wholesaler compensated the trader.,The wholesaler compensated the trader.,AAR
1029,258,active,plausible,The trader compensated the wholesaler.,The wholesaler compensated the trader.,AAR
1030,258,passive,plausible,The trader was compensated by the wholesaler.,The wholesaler compensated the trader.,AAR
1031,258,passive,plausible,The wholesaler was compensated by the trader.,The wholesaler compensated the trader.,AAR
1032,259,active,plausible,The accuser confronted the vandal.,The accuser confronted the vandal.,AAR
1033,259,active,plausible,The vandal confronted the accuser.,The accuser confronted the vandal.,AAR
1034,259,passive,plausible,The vandal was confronted by the accuser.,The accuser confronted the vandal.,AAR
1035,259,passive,plausible,The accuser was confronted by the vandal.,The accuser confronted the vandal.,AAR
1036,260,active,plausible,The plaintiff accosted the thug.,The plaintiff accosted the thug.,AAR
1037,260,active,plausible,The thug accosted the plaintiff.,The plaintiff accosted the thug.,AAR
1038,260,passive,plausible,The thug was accosted by the plaintiff.,The plaintiff accosted the thug.,AAR
1039,260,passive,plausible,The plaintiff was accosted by the thug.,The plaintiff accosted the thug.,AAR
1040,261,active,plausible,The trickster bemused the idiot.,The trickster bemused the idiot.,AAR
1041,261,active,plausible,The idiot bemused the trickster.,The trickster bemused the idiot.,AAR
1042,261,passive,plausible,The idiot was bemused by the trickster.,The trickster bemused the idiot.,AAR
1043,261,passive,plausible,The trickster was bemused by the idiot.,The trickster bemused the idiot.,AAR
1044,262,active,plausible,The swindler puzzled the fool.,The swindler puzzled the fool.,AAR
1045,262,active,plausible,The fool puzzled the swindler.,The swindler puzzled the fool.,AAR
1046,262,passive,plausible,The fool was puzzled by the swindler.,The swindler puzzled the fool.,AAR
1047,262,passive,plausible,The swindler was puzzled by the fool.,The swindler puzzled the fool.,AAR
1048,263,active,plausible,The protestor quoted the leader.,The protestor quoted the leader.,AAR
1049,263,active,plausible,The leader quoted the protestor.,The protestor quoted the leader.,AAR
1050,263,passive,plausible,The leader was quoted by the protestor.,The protestor quoted the leader.,AAR
1051,263,passive,plausible,The protestor was quoted by the leader.,The protestor quoted the leader.,AAR
1052,264,active,plausible,The striker cited the chief.,The striker cited the chief.,AAR
1053,264,active,plausible,The chief cited the striker.,The striker cited the chief.,AAR
1054,264,passive,plausible,The chief was cited by the striker.,The striker cited the chief.,AAR
1055,264,passive,plausible,The striker was cited by the chief.,The striker cited the chief.,AAR
1056,265,active,plausible,The postal worker repulsed the taxi-driver.,The postal worker repulsed the taxi-driver.,AAR
1057,265,active,plausible,The taxi-driver repulsed the postal worker.,The postal worker repulsed the taxi-driver.,AAR
1058,265,passive,plausible,The taxi-driver was repulsed by the postal worker.,The postal worker repulsed the taxi-driver.,AAR
1059,265,passive,plausible,The postal worker was repulsed by the taxi-driver.,The postal worker repulsed the taxi-driver.,AAR
1060,266,active,plausible,The letter carrier disgusted the cabbie.,The letter carrier disgusted the cabbie.,AAR
1061,266,active,plausible,The cabbie disgusted the letter carrier.,The letter carrier disgusted the cabbie.,AAR
1062,266,passive,plausible,The cabbie was disgusted by the letter carrier.,The letter carrier disgusted the cabbie.,AAR
1063,266,passive,plausible,The letter carrier was disgusted by the cabbie.,The letter carrier disgusted the cabbie.,AAR
1064,267,active,plausible,The competitor agitated the rival.,The competitor agitated his rival.,AAR
1065,267,active,plausible,The rival agitated the competitor.,The competitor agitated his rival.,AAR
1066,267,passive,plausible,The rival was agitated by the competitor.,The competitor agitated his rival.,AAR
1067,267,passive,plausible,The competitor was agitated by the rival.,The competitor agitated his rival.,AAR
1068,268,active,plausible,The contender flustered the opponent.,The contender flustered his opponent.,AAR
1069,268,active,plausible,The opponent flustered the contender.,The contender flustered his opponent.,AAR
1070,268,passive,plausible,The opponent was flustered by the contender.,The contender flustered his opponent.,AAR
1071,268,passive,plausible,The contender was flustered by the opponent.,The contender flustered his opponent.,AAR
1072,269,active,plausible,The officer alerted the authorities.,The officer alerted the authorities.,AAR
1073,269,active,plausible,The authorities alerted the officer.,The officer alerted the authorities.,AAR
1074,269,passive,plausible,The authorities were alerted by the officer.,The officer alerted the authorities.,AAR
1075,269,passive,plausible,The officer were alerted by the authorities.,The officer alerted the authorities.,AAR
1076,270,active,plausible,The deputy notified the higher-ups.,The deputy notified the higher-ups.,AAR
1077,270,active,plausible,The higher-ups notified the deputy.,The deputy notified the higher-ups.,AAR
1078,270,passive,plausible,The higher-ups were notified by the deputy.,The deputy notified the higher-ups.,AAR
1079,270,passive,plausible,The deputy were notified by the higher-ups.,The deputy notified the higher-ups.,AAR
1080,271,active,plausible,The culprit betrayed the hunter.,The culprit betrayed the hunter.,AAR
1081,271,active,plausible,The hunter betrayed the culprit.,The culprit betrayed the hunter.,AAR
1082,271,passive,plausible,The hunter was betrayed by the culprit.,The culprit betrayed the hunter.,AAR
1083,271,passive,plausible,The culprit was betrayed by the hunter.,The culprit betrayed the hunter.,AAR
1084,272,active,plausible,The perpetrator exposed the poacher.,The perpetrator ratted out the poacher.,AAR
1085,272,active,plausible,The poacher exposed the perpetrator.,The perpetrator ratted out the poacher.,AAR
1086,272,passive,plausible,The poacher was exposed by the perpetrator.,The perpetrator ratted out the poacher.,AAR
1087,272,passive,plausible,The perpetrator was exposed by the poacher.,The perpetrator ratted out the poacher.,AAR
1088,273,active,plausible,The botanist respected the partner.,The botanist respected the partner.,AAR
1089,273,active,plausible,The partner respected the botanist.,The botanist respected the partner.,AAR
1090,273,passive,plausible,The partner was respected by the botanist.,The botanist respected the partner.,AAR
1091,273,passive,plausible,The botanist was respected by the partner.,The botanist respected the partner.,AAR
1092,274,active,plausible,The flora specialist esteemed the collaborator.,The flora specialist esteemed the collaborator.,AAR
1093,274,active,plausible,The collaborator esteemed the flora specialist.,The flora specialist esteemed the collaborator.,AAR
1094,274,passive,plausible,The collaborator was esteemed by the flora specialist.,The flora specialist esteemed the collaborator.,AAR
1095,274,passive,plausible,The flora specialist was esteemed by the collaborator.,The flora specialist esteemed the collaborator.,AAR
1096,275,active,plausible,The pacifist placated the zealot.,The pacifist placated the zealot.,AAR
1097,275,active,plausible,The zealot placated the pacifist.,The pacifist placated the zealot.,AAR
1098,275,passive,plausible,The zealot was placated by the pacifist.,The pacifist placated the zealot.,AAR
1099,275,passive,plausible,The pacifist was placated by the zealot.,The pacifist placated the zealot.,AAR
1100,276,active,plausible,The peace-lover mollified the fanatic.,The peace-lover mollified the fanatic.,AAR
1101,276,active,plausible,The fanatic mollified the peace-lover.,The peace-lover mollified the fanatic.,AAR
1102,276,passive,plausible,The fanatic was mollified by the peace-lover.,The peace-lover mollified the fanatic.,AAR
1103,276,passive,plausible,The peace-lover was mollified by the fanatic.,The peace-lover mollified the fanatic.,AAR
1104,277,active,plausible,The scoundrel beat the protagonist.,The scoundrel beat the protagonist.,AAR
1105,277,active,plausible,The protagonist beat the scoundrel.,The scoundrel beat the protagonist.,AAR
1106,277,passive,plausible,The protagonist was beaten by the scoundrel.,The scoundrel beat the protagonist.,AAR
1107,277,passive,plausible,The scoundrel was beaten by the protagonist.,The scoundrel beat the protagonist.,AAR
1108,278,active,plausible,The rogue defeated the main character.,The rogue defeated the main character.,AAR
1109,278,active,plausible,The main character defeated the rogue.,The rogue defeated the main character.,AAR
1110,278,passive,plausible,The main character was defeated by the rogue.,The rogue defeated the main character.,AAR
1111,278,passive,plausible,The rogue was defeated by the main character.,The rogue defeated the main character.,AAR
1112,279,active,plausible,The sociologist accepted the offer.,The sociologist accepted the offer.,AI
1113,279,active,implausible,The offer accepted the sociologist.,The sociologist accepted the offer.,AI
1114,279,passive,plausible,The offer was accepted by the sociologist.,The sociologist accepted the offer.,AI
1115,279,passive,implausible,The sociologist was accepted by the offer.,The sociologist accepted the offer.,AI
1116,280,active,plausible,The boyfriend basted the turkey.,The boyfriend basted the turkey.,AI
1117,280,active,implausible,The turkey basted the boyfriend.,The boyfriend basted the turkey.,AI
1118,280,passive,plausible,The turkey was basted by the boyfriend.,The boyfriend basted the turkey.,AI
1119,280,passive,implausible,The boyfriend was basted by the turkey.,The boyfriend basted the turkey.,AI
1120,281,active,plausible,The caseworker posed the question.,The caseworker posed the question.,AI
1121,281,active,implausible,The question posed the caseworker.,The caseworker posed the question.,AI
1122,281,passive,plausible,The question was posed by the caseworker.,The caseworker posed the question.,AI
1123,281,passive,implausible,The caseworker was posed by the question.,The caseworker posed the question.,AI
1124,282,active,plausible,The ditch digger bent the wire.,The ditch digger bent the wire.,AI
1125,282,active,implausible,The wire bent the ditch digger.,The ditch digger bent the wire.,AI
1126,282,passive,plausible,The wire was bent by the ditch digger.,The ditch digger bent the wire.,AI
1127,282,passive,implausible,The ditch digger was bent by the wire.,The ditch digger bent the wire.,AI
1128,283,active,plausible,The box-office sold the tickets.,The box-office sold the tickets.,AI
1129,283,active,implausible,The tickets sold the box-office.,The box-office sold the tickets.,AI
1130,283,passive,plausible,The tickets were sold by the box-office.,The box-office sold the tickets.,AI
1131,283,passive,implausible,The box-office were sold by the tickets.,The box-office sold the tickets.,AI
1132,284,active,plausible,The uncle hung the ornament.,The uncle hung the ornament.,AI
1133,284,active,implausible,The ornament hung the uncle.,The uncle hung the ornament.,AI
1134,284,passive,plausible,The ornament was hung by the uncle.,The uncle hung the ornament.,AI
1135,284,passive,implausible,The uncle was hung by the ornament.,The uncle hung the ornament.,AI
1136,285,active,plausible,The attendant pressed the button.,The attendant pressed the button.,AI
1137,285,active,implausible,The button pressed the attendant.,The attendant pressed the button.,AI
1138,285,passive,plausible,The button was pressed by the attendant.,The attendant pressed the button.,AI
1139,285,passive,implausible,The attendant was pressed by the button.,The attendant pressed the button.,AI
1140,286,active,plausible,The bum stole the necklace.,The bum stole the necklace.,AI
1141,286,active,implausible,The necklace stole the bum.,The bum stole the necklace.,AI
1142,286,passive,plausible,The necklace was stolen by the bum.,The bum stole the necklace.,AI
1143,286,passive,implausible,The bum was stolen by the necklace.,The bum stole the necklace.,AI
1144,287,active,plausible,The potter molded the clay.,The potter molded the clay.,AI
1145,287,active,implausible,The clay molded the potter.,The potter molded the clay.,AI
1146,287,passive,plausible,The clay was molded by the potter.,The potter molded the clay.,AI
1147,287,passive,implausible,The potter was molded by the clay.,The potter molded the clay.,AI
1148,288,active,plausible,The guarantor initialed the form.,The guarantor initialed the form.,AI
1149,288,active,implausible,The form initialed the guarantor.,The guarantor initialed the form.,AI
1150,288,passive,plausible,The form was initialed by the guarantor.,The guarantor initialed the form.,AI
1151,288,passive,implausible,The guarantor was initialed by the form.,The guarantor initialed the form.,AI
1152,289,active,plausible,The couch-potato forgot the umbrella.,The couch-potato forgot the umbrella.,AI
1153,289,active,implausible,The umbrella forgot the couch-potato.,The couch-potato forgot the umbrella.,AI
1154,289,passive,plausible,The umbrella was forgotten by the couch-potato.,The couch-potato forgot the umbrella.,AI
1155,289,passive,implausible,The couch-potato was forgotten by the umbrella.,The couch-potato forgot the umbrella.,AI
1156,290,active,plausible,The groupie attended the concert.,The groupie attended the concert.,AI
1157,290,active,implausible,The concert attended the groupie.,The groupie attended the concert.,AI
1158,290,passive,plausible,The concert was attended by the groupie.,The groupie attended the concert.,AI
1159,290,passive,implausible,The groupie was attended by the concert.,The groupie attended the concert.,AI
1160,291,active,plausible,The hacker memorized the password.,The hacker memorized the password.,AI
1161,291,active,implausible,The password memorized the hacker.,The hacker memorized the password.,AI
1162,291,passive,plausible,The password was memorized by the hacker.,The hacker memorized the password.,AI
1163,291,passive,implausible,The hacker was memorized by the password.,The hacker memorized the password.,AI
1164,292,active,plausible,The marine packed the bag.,The marine packed the bag.,AI
1165,292,active,implausible,The bag packed the marine.,The marine packed the bag.,AI
1166,292,passive,plausible,The bag was packed by the marine.,The marine packed the bag.,AI
1167,292,passive,implausible,The marine was packed by the bag.,The marine packed the bag.,AI
1168,293,active,plausible,The counselor emphasized the rules.,The counselor emphasized the rules.,AI
1169,293,active,implausible,The rules emphasized the counselor.,The counselor emphasized the rules.,AI
1170,293,passive,plausible,The rules were emphasized by the counselor.,The counselor emphasized the rules.,AI
1171,293,passive,implausible,The counselor were emphasized by the rules.,The counselor emphasized the rules.,AI
1172,294,active,plausible,The seamstress ironed the shirt.,The seamstress ironed the shirt.,AI
1173,294,active,implausible,The shirt ironed the seamstress.,The seamstress ironed the shirt.,AI
1174,294,passive,plausible,The shirt was ironed by the seamstress.,The seamstress ironed the shirt.,AI
1175,294,passive,implausible,The seamstress was ironed by the shirt.,The seamstress ironed the shirt.,AI
1176,295,active,plausible,The confectioner sprinkled the sugar.,The confectioner sprinkled the sugar.,AI
1177,295,active,implausible,The sugar sprinkled the confectioner.,The confectioner sprinkled the sugar.,AI
1178,295,passive,plausible,The sugar was sprinkled by the confectioner.,The confectioner sprinkled the sugar.,AI
1179,295,passive,implausible,The confectioner was sprinkled by the sugar.,The confectioner sprinkled the sugar.,AI
1180,296,active,plausible,The voter sealed the envelope.,The voter sealed the envelope.,AI
1181,296,active,implausible,The envelope sealed the voter.,The voter sealed the envelope.,AI
1182,296,passive,plausible,The envelope was sealed by the voter.,The voter sealed the envelope.,AI
1183,296,passive,implausible,The voter was sealed by the envelope.,The voter sealed the envelope.,AI
1184,297,active,plausible,The fisherman emptied the trashcan.,The fisherman emptied the trashcan.,AI
1185,297,active,implausible,The trashcan emptied the fisherman.,The fisherman emptied the trashcan.,AI
1186,297,passive,plausible,The trashcan was emptied by the fisherman.,The fisherman emptied the trashcan.,AI
1187,297,passive,implausible,The fisherman was emptied by the trashcan.,The fisherman emptied the trashcan.,AI
1188,298,active,plausible,The cellist received the prize.,The cellist received the prize.,AI
1189,298,active,implausible,The prize received the cellist.,The cellist received the prize.,AI
1190,298,passive,plausible,The prize was received by the cellist.,The cellist received the prize.,AI
1191,298,passive,implausible,The cellist was received by the prize.,The cellist received the prize.,AI
1192,299,active,plausible,The cheapskate rated the service.,The cheapskate rated the service.,AI
1193,299,active,implausible,The service rated the cheapskate.,The cheapskate rated the service.,AI
1194,299,passive,plausible,The service was rated by the cheapskate.,The cheapskate rated the service.,AI
1195,299,passive,implausible,The cheapskate was rated by the service.,The cheapskate rated the service.,AI
1196,300,active,plausible,The schoolgirl borrowed the key.,The schoolgirl borrowed the key.,AI
1197,300,active,implausible,The key borrowed the schoolgirl.,The schoolgirl borrowed the key.,AI
1198,300,passive,plausible,The key was borrowed by the schoolgirl.,The schoolgirl borrowed the key.,AI
1199,300,passive,implausible,The schoolgirl was borrowed by the key.,The schoolgirl borrowed the key.,AI
1200,301,active,plausible,The bookworm recited the poem.,The bookworm recited the poem.,AI
1201,301,active,implausible,The poem recited the bookworm.,The bookworm recited the poem.,AI
1202,301,passive,plausible,The poem was recited by the bookworm.,The bookworm recited the poem.,AI
1203,301,passive,implausible,The bookworm was recited by the poem.,The bookworm recited the poem.,AI
1204,302,active,plausible,The diver recharged the battery.,The diver recharged the battery.,AI
1205,302,active,implausible,The battery recharged the diver.,The diver recharged the battery.,AI
1206,302,passive,plausible,The battery was recharged by the diver.,The diver recharged the battery.,AI
1207,302,passive,implausible,The diver was recharged by the battery.,The diver recharged the battery.,AI
1208,303,active,plausible,The poker player won the game.,The poker player won the game.,AI
1209,303,active,implausible,The game won the poker player.,The poker player won the game.,AI
1210,303,passive,plausible,The game was won by the poker player.,The poker player won the game.,AI
1211,303,passive,implausible,The poker player was won by the game.,The poker player won the game.,AI
1212,304,active,plausible,The copycat redecorated the apartment.,The copycat redecorated the apartment.,AI
1213,304,active,implausible,The apartment redecorated the copycat.,The copycat redecorated the apartment.,AI
1214,304,passive,plausible,The apartment was redecorated by the copycat.,The copycat redecorated the apartment.,AI
1215,304,passive,implausible,The copycat was redecorated by the apartment.,The copycat redecorated the apartment.,AI
1216,305,active,plausible,The winemaker uncorked the bottle.,The winemaker uncorked the bottle.,AI
1217,305,active,implausible,The bottle uncorked the winemaker.,The winemaker uncorked the bottle.,AI
1218,305,passive,plausible,The bottle was uncorked by the winemaker.,The winemaker uncorked the bottle.,AI
1219,305,passive,implausible,The winemaker was uncorked by the bottle.,The winemaker uncorked the bottle.,AI
1220,306,active,plausible,The laundress folded the clothes.,The laundress folded the clothes.,AI
1221,306,active,implausible,The clothes folded the laundress.,The laundress folded the clothes.,AI
1222,306,passive,plausible,The clothes were folded by the laundress.,The laundress folded the clothes.,AI
1223,306,passive,implausible,The laundress were folded by the clothes.,The laundress folded the clothes.,AI
1224,307,active,plausible,The travel-agent photocopied the passport.,The travel-agent photocopied the passport.,AI
1225,307,active,implausible,The passport photocopied the travel-agent.,The travel-agent photocopied the passport.,AI
1226,307,passive,plausible,The passport was photocopied by the travel-agent.,The travel-agent photocopied the passport.,AI
1227,307,passive,implausible,The travel-agent was photocopied by the passport.,The travel-agent photocopied the passport.,AI
1228,308,active,plausible,The exterminator filed the complaint.,The exterminator filed the complaint.,AI
1229,308,active,implausible,The complaint filed the exterminator.,The exterminator filed the complaint.,AI
1230,308,passive,plausible,The complaint was filed by the exterminator.,The exterminator filed the complaint.,AI
1231,308,passive,implausible,The exterminator was filed by the complaint.,The exterminator filed the complaint.,AI
1232,309,active,plausible,The minuteman loaded the gun.,The minuteman loaded the gun.,AI
1233,309,active,implausible,The gun loaded the minuteman.,The minuteman loaded the gun.,AI
1234,309,passive,plausible,The gun was loaded by the minuteman.,The minuteman loaded the gun.,AI
1235,309,passive,implausible,The minuteman was loaded by the gun.,The minuteman loaded the gun.,AI
1236,310,active,plausible,The bookseller calculated the profit.,The bookseller calculated the profit.,AI
1237,310,active,implausible,The profit calculated the bookseller.,The bookseller calculated the profit.,AI
1238,310,passive,plausible,The profit was calculated by the bookseller.,The bookseller calculated the profit.,AI
1239,310,passive,implausible,The bookseller was calculated by the profit.,The bookseller calculated the profit.,AI
1240,311,active,plausible,The count inherited the painting.,The count inherited the painting.,AI
1241,311,active,implausible,The painting inherited the count.,The count inherited the painting.,AI
1242,311,passive,plausible,The painting was inherited by the count.,The count inherited the painting.,AI
1243,311,passive,implausible,The count was inherited by the painting.,The count inherited the painting.,AI
1244,312,active,plausible,The groundskeeper changed the light bulb.,The groundskeeper changed the light bulb.,AI
1245,312,active,implausible,The light bulb changed the groundskeeper.,The groundskeeper changed the light bulb.,AI
1246,312,passive,plausible,The light bulb was changed by the groundskeeper.,The groundskeeper changed the light bulb.,AI
1247,312,passive,implausible,The groundskeeper was changed by the light bulb.,The groundskeeper changed the light bulb.,AI
1248,313,active,plausible,The marcher sang the anthem.,The marcher sang the anthem.,AI
1249,313,active,implausible,The anthem sang the marcher.,The marcher sang the anthem.,AI
1250,313,passive,plausible,The anthem was sung by the marcher.,The marcher sang the anthem.,AI
1251,313,passive,implausible,The marcher was sung by the anthem.,The marcher sang the anthem.,AI
1252,314,active,plausible,The deckhand unlocked the door.,The deckhand unlocked the door.,AI
1253,314,active,implausible,The door unlocked the deckhand.,The deckhand unlocked the door.,AI
1254,314,passive,plausible,The door was unlocked by the deckhand.,The deckhand unlocked the door.,AI
1255,314,passive,implausible,The deckhand was unlocked by the door.,The deckhand unlocked the door.,AI
1256,315,active,plausible,The supremacist established the fund.,The supremacist established the fund.,AI
1257,315,active,implausible,The fund established the supremacist.,The supremacist established the fund.,AI
1258,315,passive,plausible,The fund was established by the supremacist.,The supremacist established the fund.,AI
1259,315,passive,implausible,The supremacist was established by the fund.,The supremacist established the fund.,AI
1260,316,active,plausible,The house sitter watered the plant.,The house sitter watered the plant.,AI
1261,316,active,implausible,The plant watered the house sitter.,The house sitter watered the plant.,AI
1262,316,passive,plausible,The plant was watered by the house sitter.,The house sitter watered the plant.,AI
1263,316,passive,implausible,The house sitter was watered by the plant.,The house sitter watered the plant.,AI
1264,317,active,plausible,The interviewee wrinkled the suit.,The interviewee wrinkled the suit.,AI
1265,317,active,implausible,The suit wrinkled the interviewee.,The interviewee wrinkled the suit.,AI
1266,317,passive,plausible,The suit was wrinkled by the interviewee.,The interviewee wrinkled the suit.,AI
1267,317,passive,implausible,The interviewee was wrinkled by the suit.,The interviewee wrinkled the suit.,AI
1268,318,active,plausible,The cryptographer sent the letter.,The cryptographer sent the letter.,AI
1269,318,active,implausible,The letter sent the cryptographer.,The cryptographer sent the letter.,AI
1270,318,passive,plausible,The letter was sent by the cryptographer.,The cryptographer sent the letter.,AI
1271,318,passive,implausible,The cryptographer was sent by the letter.,The cryptographer sent the letter.,AI
1272,319,active,plausible,The bellboy erased the message.,The bellboy erased the message.,AI
1273,319,active,implausible,The message erased the bellboy.,The bellboy erased the message.,AI
1274,319,passive,plausible,The message was erased by the bellboy.,The bellboy erased the message.,AI
1275,319,passive,implausible,The bellboy was erased by the message.,The bellboy erased the message.,AI
1276,320,active,plausible,The forger shipped the package.,The forger shipped the package.,AI
1277,320,active,implausible,The package shipped the forger.,The forger shipped the package.,AI
1278,320,passive,plausible,The package was shipped by the forger.,The forger shipped the package.,AI
1279,320,passive,implausible,The forger was shipped by the package.,The forger shipped the package.,AI
1280,321,active,plausible,The crackhead smoked the pipe.,The crackhead smoked the pipe.,AI
1281,321,active,implausible,The pipe smoked the crackhead.,The crackhead smoked the pipe.,AI
1282,321,passive,plausible,The pipe was smoked by the crackhead.,The crackhead smoked the pipe.,AI
1283,321,passive,implausible,The crackhead was smoked by the pipe.,The crackhead smoked the pipe.,AI
1284,322,active,plausible,The manicurist rescheduled the appointment.,The manicurist rescheduled the appointment.,AI
1285,322,active,implausible,The appointment rescheduled the manicurist.,The manicurist rescheduled the appointment.,AI
1286,322,passive,plausible,The appointment was rescheduled by the manicurist.,The manicurist rescheduled the appointment.,AI
1287,322,passive,implausible,The manicurist was rescheduled by the appointment.,The manicurist rescheduled the appointment.,AI
1288,323,active,plausible,The charlatan burned the contract.,The charlatan burned the contract.,AI
1289,323,active,implausible,The contract burned the charlatan.,The charlatan burned the contract.,AI
1290,323,passive,plausible,The contract was burnt by the charlatan.,The charlatan burned the contract.,AI
1291,323,passive,implausible,The charlatan was burnt by the contract.,The charlatan burned the contract.,AI
1292,324,active,plausible,The tanner placed the order.,The tanner placed the order.,AI
1293,324,active,implausible,The order placed the tanner.,The tanner placed the order.,AI
1294,324,passive,plausible,The order was placed by the tanner.,The tanner placed the order.,AI
1295,324,passive,implausible,The tanner was placed by the order.,The tanner placed the order.,AI
1296,325,active,plausible,The archaeologist canceled the trip.,The archaeologist canceled the trip.,AI
1297,325,active,implausible,The trip canceled the archaeologist.,The archaeologist canceled the trip.,AI
1298,325,passive,plausible,The trip was canceled by the archaeologist.,The archaeologist canceled the trip.,AI
1299,325,passive,implausible,The archaeologist was canceled by the trip.,The archaeologist canceled the trip.,AI
1300,326,active,plausible,The Frenchman sliced the baguette.,The Frenchman sliced the baguette.,AI
1301,326,active,implausible,The baguette sliced the Frenchman.,The Frenchman sliced the baguette.,AI
1302,326,passive,plausible,The baguette was sliced by the Frenchman.,The Frenchman sliced the baguette.,AI
1303,326,passive,implausible,The Frenchman was sliced by the baguette.,The Frenchman sliced the baguette.,AI
1304,327,active,plausible,The producer cast the actress.,The producer cast the actress.,AAN
1305,327,active,implausible,The actress cast the producer.,The producer cast the actress.,AAN
1306,327,passive,plausible,The actress was cast by the producer.,The producer cast the actress.,AAN
1307,327,passive,implausible,The producer was cast by the actress.,The producer cast the actress.,AAN
1308,328,active,plausible,The babysitter punished the twins.,The babysitter punished the twins.,AAN
1309,328,active,implausible,The twins punished the babysitter.,The babysitter punished the twins.,AAN
1310,328,passive,plausible,The twins were punished by the babysitter.,The babysitter punished the twins.,AAN
1311,328,passive,implausible,The babysitter were punished by the twins.,The babysitter punished the twins.,AAN
1312,329,active,plausible,The exorcist vanquished the spirit.,The exorcist vanquished the spirit.,AAN
1313,329,active,implausible,The spirit vanquished the exorcist.,The exorcist vanquished the spirit.,AAN
1314,329,passive,plausible,The spirit was vanquished by the exorcist.,The exorcist vanquished the spirit.,AAN
1315,329,passive,implausible,The exorcist was vanquished by the spirit.,The exorcist vanquished the spirit.,AAN
1316,330,active,plausible,The barber shaved the old man.,The barber shaved the old man.,AAN
1317,330,active,implausible,The old man shaved the barber.,The barber shaved the old man.,AAN
1318,330,passive,plausible,The old man was shaved by the barber.,The barber shaved the old man.,AAN
1319,330,passive,implausible,The barber was shaved by the old man.,The barber shaved the old man.,AAN
1320,331,active,plausible,The paparazzi stalked the pop star.,The paparazzi stalked the pop star.,AAN
1321,331,active,implausible,The pop star stalked the paparazzi.,The paparazzi stalked the pop star.,AAN
1322,331,passive,plausible,The pop star was stalked by the paparazzi.,The paparazzi stalked the pop star.,AAN
1323,331,passive,implausible,The paparazzi was stalked by the pop star.,The paparazzi stalked the pop star.,AAN
1324,332,active,plausible,The brunette tipped the busboy.,The brunette tipped the busboy.,AAN
1325,332,active,implausible,The busboy tipped the brunette.,The brunette tipped the busboy.,AAN
1326,332,passive,plausible,The busboy was tipped by the brunette.,The brunette tipped the busboy.,AAN
1327,332,passive,implausible,The brunette was tipped by the busboy.,The brunette tipped the busboy.,AAN
1328,333,active,plausible,The roommate adopted the newborn.,The roommate adopted the newborn.,AAN
1329,333,active,implausible,The newborn adopted the roommate.,The roommate adopted the newborn.,AAN
1330,333,passive,plausible,The newborn was adopted by the roommate.,The roommate adopted the newborn.,AAN
1331,333,passive,implausible,The roommate was adopted by the newborn.,The roommate adopted the newborn.,AAN
1332,334,active,plausible,The cartoonist sketched the unicyclist.,The cartoonist sketched the unicyclist.,AAN
1333,334,active,implausible,The unicyclist sketched the cartoonist.,The cartoonist sketched the unicyclist.,AAN
1334,334,passive,plausible,The unicyclist was sketched by the cartoonist.,The cartoonist sketched the unicyclist.,AAN
1335,334,passive,implausible,The cartoonist was sketched by the unicyclist.,The cartoonist sketched the unicyclist.,AAN
1336,335,active,plausible,The streetwalker undercharged the seaman.,The streetwalker undercharged the seaman.,AAN
1337,335,active,implausible,The seaman undercharged the streetwalker.,The streetwalker undercharged the seaman.,AAN
1338,335,passive,plausible,The seaman was undercharged by the streetwalker.,The streetwalker undercharged the seaman.,AAN
1339,335,passive,implausible,The streetwalker was undercharged by the seaman.,The streetwalker undercharged the seaman.,AAN
1340,336,active,plausible,The urologist treated the widower.,The urologist treated the widower.,AAN
1341,336,active,implausible,The widower treated the urologist.,The urologist treated the widower.,AAN
1342,336,passive,plausible,The widower was treated by the urologist.,The urologist treated the widower.,AAN
1343,336,passive,implausible,The urologist was treated by the widower.,The urologist treated the widower.,AAN
1344,337,active,plausible,The jury acquitted the economist.,The jury acquitted the economist.,AAN
1345,337,active,implausible,The economist acquitted the jury.,The jury acquitted the economist.,AAN
1346,337,passive,plausible,The economist was acquitted by the jury.,The jury acquitted the economist.,AAN
1347,337,passive,implausible,The jury was acquitted by the economist.,The jury acquitted the economist.,AAN
1348,338,active,plausible,The freshman dodged the bully.,The freshman dodged the bully.,AAN
1349,338,active,implausible,The bully dodged the freshman.,The freshman dodged the bully.,AAN
1350,338,passive,plausible,The bully was dodged by the freshman.,The freshman dodged the bully.,AAN
1351,338,passive,implausible,The freshman was dodged by the bully.,The freshman dodged the bully.,AAN
1352,339,active,plausible,The nun reproached the hedonist.,The nun reproached the hedonist.,AAN
1353,339,active,implausible,The hedonist reproached the nun.,The nun reproached the hedonist.,AAN
